入門（にゅうもん）
トピック 3 たべもの
1 魚 さかな 5
2 肉 にく 5
3 卵 たまご 5
4 水 みず 5
5 食べます たべます 6
6 飲みます のみます 6
トピック 4 いえ
7 大きい おおきい 8
8 小さい ちいさい 8
9 新しい あたらしい 8
10 古い ふるい 8
トピック 5 せいかつ
11 ～時（5 時） ～じ 9
12 ～分（5 時 15 分） ～ふん／ぷん 9
13 ～半（7 時半） ～はん 9
14 月 げつ 10
15 火 か 10
16 水 すい 10
17 木 もく 10
18 金 きん 10
19 土 ど 10
20 日 にち 10
21 ～よう日（月よう日） ～ようび（げつようび） 10
トピック 6 やすみのひ 1
22 言います いいます 11
23 話します はなします 11
24 読みます よみます 11
25 見ます みます 11
26 聞きます ききます 11
27 書きます かきます 11
28 一 いち 12
29 二 に 12
30 三 さん 12
31 四 よん／し 12
32 五 ご 12
33 六 ろく 12
34 七 なな／しち 12
35 八 はち 12
36 九 きゅう／く 12
37 十 じゅう 12
38 ～年 ～ねん 12
39 ～月 ～がつ 12
40 ～日 ～にち 12
トピック 7 まち
41 東 ひがし 13
42 西 にし 13
43 南 みなみ 13
44 北 きた 13
45 ～口 ～ぐち 13
46 東口 ひがしぐち 13
47 西口 にしぐち 13
48 南口 みなみぐち 13
49 北口 きたぐち 13
トピック 8 かいもの
50 買います かいます 16
51 買いもの かいもの 16
52 お金 おかね 16
53 ～円 ～えん 16
54 百 ひゃく 16
55 千 せん 16
56 万 まん 16
57 百円 ひゃくえん 16
58 千円 せんえん 16
59 一万円 いちまんえん 16
トピック 9 やすみのひ 2
60 行きます いきます 18
61 来ます きます 18
62 会います あいます 18
63 休みます やすみます 18
64 日本 にほん／にっぽん 18
65 東京 とうきょう 18
初級（しょきゅう）1
トピック 1 私とかぞく
66 私 わたし 1
67 父 ちち 1
68 母 はは 1
69 子ども こども 1
70 男 おとこ 1
71 女 おんな 1
72 人 ひと 1
73 お父さん おとうさん 1
74 お母さん おかあさん 1
75 何人 なんにん 1
76 国 くに 2
77 外国 がいこく 2
78 ～語 ～ご 2
79 日本語 にほんご 2
80 英語 えいご 2
81 中国語 ちゅうごくご 2
82 ～人 ～じん 2
83 日本人 にほんじん 2
84 好き すき 2
85 本 ほん 2
86 読書 どくしょ 2
87 何 なに 2
トピック 2 きせつと天気
88 春 はる 3
89 夏 なつ 3
90 秋 あき 3
91 冬 ふゆ 3
92 今 いま 3
93 花 はな 3
94 海 うみ 3
95 山 やま 3
96 川 かわ 3
97 今日 きょう 4
98 天気 てんき 4
99 晴れ はれ 4
100 雨 あめ 4
101 雪 ゆき 4
102 雲 くも 4
103 風 かぜ 4
104 空 そら 4
トピック 3 私の町
105 町 まち 5
106 店 みせ 5
107 人気 にんき 5
108 多い おおい 5
109 少ない すくない 5
110 高い たかい 5
111 安い やすい 5
112 広い ひろい 5
113 道 みち 6
114 通り とおり 6
115 右 みぎ 6
116 左 ひだり 6
117 一つ ひとつ 6
118 二つ ふたつ 6
119 赤い あかい 6
120 青い あおい 6
121 黒い くろい 6
122 白い しろい 6
トピック 4 出かける
123 時間 じかん 7
124 場所 ばしょ 7
125 駅 えき 7
126 日 ひ 7
127 出かけます でかけます 7
128 待ちます まちます 7
129 止まります とまります 7
130 食事 しょくじ 8
131 仕事 しごと 8
132 前 まえ 8
133 後 あと 8
134 朝 あさ 8
135 昼 ひる 8
136 夜 よる 8
137 乗ります のります 8
トピック 5 外国語と外国文化
138 学校 がっこう 9
139 小学校 しょうがっこう 9
140 中学校 ちゅうがっこう 9
141 高校 こうこう 9
142 大学 だいがく 9
143 先生 せんせい 9
144 学生 がくせい 9
145 ～年生（1 年生） ～ねんせい（いちねんせい） 9
146 勉強 べんきょう 9
147 文化 ぶんか 10
148 音楽 おんがく 10
149 旅行 りょこう 10
150 留学 りゅうがく 10
151 友だち ともだち 10
152 楽しい たのしい 10
153 週 しゅう 10
154 ～回（2 回） かい（にかい） 10
トピック 6 そとで食べる
155 食べ物 たべもの 11
156 飲み物 のみもの 11
157 お茶 おちゃ 11
158 お酒 おさけ 11
159 作ります つくります 11
160 持っていきます もっていきます 11
